ts,camera,dur_2k,dur_7k,dur_diff,dur_match,ahash_dist,frame_match,path_2k,path_7k,ride_dir_2k,note,dur_diff_7k_minus_2k
20240410103000,front,284.716,284.75,0.0339999999999918,True,1.0,True,frodobots_data/output_rides_12/ride_29429_20240410103000/recordings/c0fe8bc66544ef1ec70baf9f06662f53_ride_29429__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240410103000_front_camera.mp4,frodobots_data/output_rides_12/ride_29429_20240410103000,,0.033999999999991815
20240410114046,front,552.016,552.05,0.0339999999999918,True,2.0,True,frodobots_data/output_rides_12/ride_29445_20240410114046/recordings/a69e9a3f1545e921815ae782dc3d3441_ride_29445__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240410114046_front_camera.mp4,frodobots_data/output_rides_12/ride_29445_20240410114046,,0.033999999999991815
20240411083010,front,464.745,464.8,0.0550000000000068,True,1.0,True,frodobots_data/output_rides_12/ride_29768_20240411083010/recordings/b7a0fbc9904b0e4e8fc702a384aaeb6b_ride_29768__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240411083010_front_camera.mp4,frodobots_data/output_rides_12/ride_29768_20240411083010,,0.05500000000000682
20240411093337,front,420.316,420.35,0.0340000000000486,True,1.0,True,frodobots_data/output_rides_12/ride_29787_20240411093337/recordings/9e196f1b0f4db80370a690a3af60ba41_ride_29787__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_c95741_20240411093337_front_camera.mp4,frodobots_data/output_rides_12/ride_29787_20240411093337,,0.03400000000004866
20240411105510,front,281.007,281.05,0.0430000000000063,True,0.0,True,frodobots_data/output_rides_12/ride_29809_20240411105510/recordings/05479636a94a4a4a701edea2001da54e_ride_29809__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_c95741_20240411105510_front_camera.mp4,frodobots_data/output_rides_12/ride_29809_20240411105510,,0.043000000000006366
20240411111728,front,574.766,574.8,0.0339999999999918,True,0.0,True,frodobots_data/output_rides_12/ride_29813_20240411111728/recordings/9cacae3d214b561f3df4beb36bf0f91d_ride_29813__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_c95741_20240411111728_front_camera.mp4,frodobots_data/output_rides_12/ride_29813_20240411111728,,0.033999999999991815
20240411134636,front,1072.486,1072.5,0.0139999999998963,True,5.0,True,frodobots_data/output_rides_12/ride_29829_20240411134636/recordings/8331dff20545f6bf1b5778836d153741_ride_29829__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_c95741_20240411134636_front_camera.mp4,frodobots_data/output_rides_12/ride_29829_20240411134636,,0.013999999999896318
20240411144407,front,713.516,713.55,0.0339999999999918,True,1.0,True,frodobots_data/output_rides_12/ride_29836_20240411144407/recordings/5a2162248d411953695b1082f4122d86_ride_29836__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_c95741_20240411144407_front_camera.mp4,frodobots_data/output_rides_12/ride_29836_20240411144407,,0.033999999999991815
20240411152358,front,630.366,630.4,0.0339999999999918,True,1.0,True,frodobots_data/output_rides_12/ride_29844_20240411152358/recordings/45771b1e824a118e77914ba96ef82844_ride_29844__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_c95741_20240411152358_front_camera.mp4,frodobots_data/output_rides_12/ride_29844_20240411152358,,0.033999999999991815
20240411161804,front,462.866,462.9,0.0339999999999918,True,1.0,True,frodobots_data/output_rides_12/ride_29859_20240411161804/recordings/554f691be146a318fa1bce88ab6ceccb_ride_29859__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_c95741_20240411161804_front_camera.mp4,frodobots_data/output_rides_12/ride_29859_20240411161804,,0.033999999999991815
20240411170119,front,396.766,396.8,0.0339999999999918,True,0.0,True,frodobots_data/output_rides_12/ride_29864_20240411170119/recordings/11781049824be286ac8ca9a689fecd74_ride_29864__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_c95741_20240411170119_front_camera.mp4,frodobots_data/output_rides_12/ride_29864_20240411170119,,0.033999999999991815
20240411180141,front,188.266,188.3,0.0340000000000202,True,1.0,True,frodobots_data/output_rides_12/ride_29884_20240411180141/recordings/5e51e1e38d4bec95cc40279c0094836c_ride_29884__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_c95741_20240411180141_front_camera.mp4,frodobots_data/output_rides_12/ride_29884_20240411180141,,0.034000000000020236
20240412092617,front,261.966,262.0,0.0339999999999918,True,1.0,True,frodobots_data/output_rides_12/ride_30153_20240412092617/recordings/12d321514b4186130b4306a329f17a10_ride_30153__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240412092617_front_camera.mp4,frodobots_data/output_rides_12/ride_30153_20240412092617,,0.033999999999991815
20240416090812,front,321.816,321.85,0.0340000000000486,True,3.0,True,frodobots_data/output_rides_14/ride_31377_20240416090812/recordings/6f82da1c73419b0a3d61bd9eca542b41_ride_31377__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240416090812_front_camera.mp4,frodobots_data/output_rides_14/ride_31377_20240416090812,,0.03400000000004866
20240416110156,front,1237.166,1237.2,0.0340000000001055,True,3.0,True,frodobots_data/output_rides_14/ride_31400_20240416110156/recordings/e09adc0fc74aff2535e44ca161129517_ride_31400__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240416110156_front_camera.mp4,frodobots_data/output_rides_14/ride_31400_20240416110156,,0.0340000000001055
20240416120443,front,330.866,330.9,0.0339999999999918,True,2.0,True,frodobots_data/output_rides_14/ride_31415_20240416120443/recordings/a2ce3e281b46b4ccce590dabf4941d34_ride_31415__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240416120443_front_camera.mp4,frodobots_data/output_rides_14/ride_31415_20240416120443,,0.033999999999991815
20240417090910,front,1094.366,1094.4,0.0340000000001055,True,3.0,True,frodobots_data/output_rides_14/ride_31832_20240417090910/recordings/a345ef31e0493938b0e30e90ed9572b9_ride_31832__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240417090910_front_camera.mp4,frodobots_data/output_rides_14/ride_31832_20240417090910,,0.0340000000001055
20240417114030,front,296.565999,296.6,0.0340010000000461,True,4.0,True,frodobots_data/output_rides_14/ride_31865_20240417114030/recordings/26ba9d261c433101cfdc82b5f8c551b1_ride_31865__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240417114030_front_camera.mp4,frodobots_data/output_rides_14/ride_31865_20240417114030,,0.03400100000004613
20240417122557,front,785.116,785.15,0.0339999999999918,True,2.0,True,frodobots_data/output_rides_14/ride_31887_20240417122557/recordings/9047b154f64fe90fb16af6b8dd98939c_ride_31887__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240417122557_front_camera.mp4,frodobots_data/output_rides_14/ride_31887_20240417122557,,0.033999999999991815
20240418091002,front,332.466,332.5,0.0339999999999918,True,0.0,True,frodobots_data/output_rides_15/ride_32248_20240418091002/recordings/0ce9e7348a46c229a62505a009818938_ride_32248__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240418091002_front_camera.mp4,frodobots_data/output_rides_15/ride_32248_20240418091002,,0.033999999999991815
20240418112326,front,1034.316,1034.35,0.0339999999998781,True,2.0,True,frodobots_data/output_rides_15/ride_32320_20240418112326/recordings/8cb1775ddc45da7ea08e6e9643967b36_ride_32320__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240418112326_front_camera.mp4,frodobots_data/output_rides_15/ride_32320_20240418112326,,0.03399999999987813
20240418115115,front,65.565999,65.6,0.0340009999999892,True,0.0,True,frodobots_data/output_rides_15/ride_32330_20240418115115/recordings/bc6ab6a47145506152091eb266b49beb_ride_32330__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240418115115_front_camera.mp4,frodobots_data/output_rides_15/ride_32330_20240418115115,,0.03400099999998929
20240419092103,front,884.066,884.1,0.0339999999999918,True,2.0,True,frodobots_data/output_rides_15/ride_32780_20240419092103/recordings/b0317469064d9e2c30075ea8f9cd193c_ride_32780__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240419092103_front_camera.mp4,frodobots_data/output_rides_15/ride_32780_20240419092103,,0.033999999999991815
20240422111359,front,497.116,497.15,0.0339999999999918,True,3.0,True,frodobots_data/output_rides_17/ride_34251_20240422111359/recordings/4fb979b6154563bf395b8c8bdaa3271b_ride_34251__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240422111359_front_camera.mp4,frodobots_data/output_rides_17/ride_34251_20240422111359,,0.033999999999991815
