ts,camera,dur_2k,dur_7k,dur_diff,dur_match,ahash_dist,frame_match,path_2k,path_7k,ride_dir_2k,note,dur_diff_7k_minus_2k
20240416115030,front,404.666,404.7,0.0339999999999918,True,0.0,True,frodobots_data/output_rides_14/ride_31411_20240416115030/recordings/785b729c664362cdf924b98329254627_ride_31411__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240416115030_front_camera.mp4,frodobots_data/output_rides_14/ride_31411_20240416115030,,0.033999999999991815
20240417083925,front,327.616,327.65,0.0339999999999918,True,0.0,True,frodobots_data/output_rides_14/ride_31819_20240417083925/recordings/f5b404c4b448ce4c8e7444a161b19e37_ride_31819__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240417083925_front_camera.mp4,frodobots_data/output_rides_14/ride_31819_20240417083925,,0.033999999999991815
20240417094704,front,531.99,532.0,0.0099999999999909,True,1.0,True,frodobots_data/output_rides_14/ride_31844_20240417094704/recordings/88a551296942193988cba4bda3a57208_ride_31844__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240417094704_front_camera.mp4,frodobots_data/output_rides_14/ride_31844_20240417094704,,0.009999999999990905
20240417121604,front,522.966,523.0,0.0339999999999918,True,1.0,True,frodobots_data/output_rides_14/ride_31883_20240417121604/recordings/8dd6e2d3e5420ee2bd6d10b47758feb5_ride_31883__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240417121604_front_camera.mp4,frodobots_data/output_rides_14/ride_31883_20240417121604,,0.033999999999991815
20240418091717,front,373.816,373.85,0.0340000000000486,True,2.0,True,frodobots_data/output_rides_15/ride_32250_20240418091717/recordings/177b349aec42d29827a3fe892fa62134_ride_32250__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240418091717_front_camera.mp4,frodobots_data/output_rides_15/ride_32250_20240418091717,,0.03400000000004866
20240418105707,front,333.966,334.0,0.0339999999999918,True,2.0,True,frodobots_data/output_rides_15/ride_32305_20240418105707/recordings/ee84b99f1242f54533448c8884839840_ride_32305__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240418105707_front_camera.mp4,frodobots_data/output_rides_15/ride_32305_20240418105707,,0.033999999999991815
20240418114050,front,507.65,507.7,0.0500000000000113,True,1.0,True,frodobots_data/output_rides_15/ride_32326_20240418114050/recordings/03e90b7d5940fe0e15bdd1956cd5c747_ride_32326__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240418114050_front_camera.mp4,frodobots_data/output_rides_15/ride_32326_20240418114050,,0.05000000000001137
20240419093708,front,212.166,212.2,0.0339999999999918,True,3.0,True,frodobots_data/output_rides_15/ride_32788_20240419093708/recordings/f5df5a1e324fc981b1e0a69122e69e71_ride_32788__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240419093708_front_camera.mp4,frodobots_data/output_rides_15/ride_32788_20240419093708,,0.033999999999991815
20240422081812,front,45.516,45.55,0.0339999999999989,True,4.0,True,frodobots_data/output_rides_17/ride_34185_20240422081812/recordings/e80a24ded24f6998210eab938c301cf8_ride_34185__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240422081812_front_camera.mp4,frodobots_data/output_rides_17/ride_34185_20240422081812,,0.03399999999999892
20240422121937,front,276.416,276.45,0.0339999999999918,True,1.0,True,frodobots_data/output_rides_17/ride_34281_20240422121937/recordings/796c7005f8440e4d6d92599d430525dd_ride_34281__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240422121937_front_camera.mp4,frodobots_data/output_rides_17/ride_34281_20240422121937,,0.033999999999991815
20240423093132,front,633.366,633.4,0.0339999999999918,True,3.0,True,frodobots_data/output_rides_17/ride_34770_20240423093132/recordings/e66c9ca8f54c810460d2969738799257_ride_34770__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240423093132_front_camera.mp4,frodobots_data/output_rides_17/ride_34770_20240423093132,,0.033999999999991815
20240423115432,front,1031.266,1031.3,0.0339999999998781,True,4.0,True,frodobots_data/output_rides_17/ride_34829_20240423115432/recordings/002317bdfc4044d5235a03a03f8a34e2_ride_34829__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240423115432_front_camera.mp4,frodobots_data/output_rides_17/ride_34829_20240423115432,,0.03399999999987813
20240424092714,front,1025.116,1025.15,0.0340000000001055,True,1.0,True,frodobots_data/output_rides_18/ride_35320_20240424092714/recordings/c999676f2d4265ad7bfdceb9035d6250_ride_35320__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240424092714_front_camera.mp4,frodobots_data/output_rides_18/ride_35320_20240424092714,,0.0340000000001055
20240425091420,front,391.666,391.7,0.0339999999999918,True,1.0,True,frodobots_data/output_rides_18/ride_35832_20240425091420/recordings/cc949f26984310bdb485dea130d61f85_ride_35832__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240425091420_front_camera.mp4,frodobots_data/output_rides_18/ride_35832_20240425091420,,0.033999999999991815
20240425102125,front,320.966,321.0,0.0339999999999918,True,1.0,True,frodobots_data/output_rides_18/ride_35873_20240425102125/recordings/fdea463aa14d1878971ca5b20552b75b_ride_35873__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240425102125_front_camera.mp4,frodobots_data/output_rides_18/ride_35873_20240425102125,,0.033999999999991815
20240425104942,front,389.366,389.4,0.0339999999999918,True,2.0,True,frodobots_data/output_rides_18/ride_35882_20240425104942/recordings/67ae944db94e3451e0405bbf1eb2559a_ride_35882__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240425104942_front_camera.mp4,frodobots_data/output_rides_18/ride_35882_20240425104942,,0.033999999999991815
20240425114604,front,317.066,317.1,0.0340000000000486,True,2.0,True,frodobots_data/output_rides_18/ride_35913_20240425114604/recordings/1f12c5c488424df3f047d1b4ca1e072c_ride_35913__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240425114604_front_camera.mp4,frodobots_data/output_rides_18/ride_35913_20240425114604,,0.03400000000004866
20240426080313,front,99.316,99.35,0.0339999999999918,True,1.0,True,frodobots_data/output_rides_19/ride_36249_20240426080313/recordings/148480f9be47fab25ad7cab8e324979e_ride_36249__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_f6a757_20240426080313_front_camera.mp4,frodobots_data/output_rides_19/ride_36249_20240426080313,,0.033999999999991815
20240426083350,front,429.116,429.15,0.0339999999999918,True,0.0,True,frodobots_data/output_rides_19/ride_36267_20240426083350/recordings/b0f1e8fa694e3ecda05a61aceffa0921_ride_36267__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_f6a757_20240426083350_front_camera.mp4,frodobots_data/output_rides_19/ride_36267_20240426083350,,0.033999999999991815
20240426084638,front,46.816,46.85,0.0339999999999989,True,2.0,True,frodobots_data/output_rides_19/ride_36280_20240426084638/recordings/963a211738483254713010a5b38b7098_ride_36280__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240426084638_front_camera.mp4,frodobots_data/output_rides_19/ride_36280_20240426084638,,0.03399999999999892
20240426130056,front,444.866,444.9,0.0339999999999918,True,0.0,True,frodobots_data/output_rides_19/ride_36335_20240426130056/recordings/bff620b8dc4958c2898a40870c000ae1_ride_36335__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_f6a757_20240426130056_front_camera.mp4,frodobots_data/output_rides_19/ride_36335_20240426130056,,0.033999999999991815
20240426134958,front,531.116,531.15,0.0339999999999918,True,1.0,True,frodobots_data/output_rides_19/ride_36350_20240426134958/recordings/6bf493fa5e41ea3df49ce2be7d000a1f_ride_36350__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_f6a757_20240426134958_front_camera.mp4,frodobots_data/output_rides_19/ride_36350_20240426134958,,0.033999999999991815
20240426152658,front,209.116,209.15,0.0339999999999918,True,1.0,True,frodobots_data/output_rides_19/ride_36373_20240426152658/recordings/0d1849d7c24aae3a9018de9a58cb8aec_ride_36373__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_f6a757_20240426152658_front_camera.mp4,frodobots_data/output_rides_19/ride_36373_20240426152658,,0.033999999999991815
20240429083356,front,373.166,373.2,0.0339999999999918,True,3.0,True,frodobots_data/output_rides_20/ride_37345_20240429083356/recordings/4e00aa48584080436df7f0a2d68e3c54_ride_37345__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240429083356_front_camera.mp4,frodobots_data/output_rides_20/ride_37345_20240429083356,,0.033999999999991815
20240429102849,front,445.866,445.9,0.0339999999999918,True,3.0,True,frodobots_data/output_rides_20/ride_37373_20240429102849/recordings/2442923d7d46b9808a3af6b6128fb9d6_ride_37373__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_f6a757_20240429102849_front_camera.mp4,frodobots_data/output_rides_20/ride_37373_20240429102849,,0.033999999999991815
20240429113140,front,928.266,928.3,0.0339999999999918,True,0.0,True,frodobots_data/output_rides_20/ride_37390_20240429113140/recordings/9a6bd37c1544c4ecaec5a8937b1ff310_ride_37390__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240429113140_front_camera.mp4,frodobots_data/output_rides_20/ride_37390_20240429113140,,0.033999999999991815
