ts,camera,dur_2k,dur_7k,dur_diff,dur_match,ahash_dist,frame_match,path_2k,path_7k,ride_dir_2k,note,dur_diff_7k_minus_2k
20240410084811,front,973.366,973.4,0.0339999999999918,True,2.0,True,frodobots_data/output_rides_12/ride_29398_20240410084811/recordings/027abde6e349b94ce52ecb8a1fa46a0a_ride_29398__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240410084811_front_camera.mp4,frodobots_data/output_rides_12/ride_29398_20240410084811,,0.033999999999991815
20240410104622,front,297.916,297.95,0.0339999999999918,True,2.0,True,frodobots_data/output_rides_12/ride_29433_20240410104622/recordings/7f84e9f6a443cfca975c68a5d927a2de_ride_29433__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240410104622_front_camera.mp4,frodobots_data/output_rides_12/ride_29433_20240410104622,,0.033999999999991815
20240410120640,front,1103.316,1103.35,0.0339999999998781,True,0.0,True,frodobots_data/output_rides_12/ride_29449_20240410120640/recordings/58d9a7708149909fbbe83196d3fb7aff_ride_29449__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240410120640_front_camera.mp4,frodobots_data/output_rides_12/ride_29449_20240410120640,,0.03399999999987813
20240411092748,front,283.566,283.6,0.0340000000000486,True,3.0,True,frodobots_data/output_rides_12/ride_29785_20240411092748/recordings/04991efdd94648476ea953a9aa9b8db5_ride_29785__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_c95741_20240411092748_front_camera.mp4,frodobots_data/output_rides_12/ride_29785_20240411092748,,0.03400000000004866
20240411100350,front,1045.916,1045.95,0.0340000000001055,True,1.0,True,frodobots_data/output_rides_12/ride_29798_20240411100350/recordings/954f6adf4c475569e8e7c7994885cbd1_ride_29798__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_c95741_20240411100350_front_camera.mp4,frodobots_data/output_rides_12/ride_29798_20240411100350,,0.0340000000001055
20240411110607,front,265.916,265.95,0.0339999999999918,True,1.0,True,frodobots_data/output_rides_12/ride_29811_20240411110607/recordings/2b1141c36e4ea0da6da2cf8f235d4e9e_ride_29811__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_c95741_20240411110607_front_camera.mp4,frodobots_data/output_rides_12/ride_29811_20240411110607,,0.033999999999991815
20240411131716,front,540.266,540.3,0.0339999999999918,True,1.0,True,frodobots_data/output_rides_12/ride_29826_20240411131716/recordings/24518d5fe24a279360b450b1d9d7bfc0_ride_29826__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_c95741_20240411131716_front_camera.mp4,frodobots_data/output_rides_12/ride_29826_20240411131716,,0.033999999999991815
20240411140913,front,354.966,355.0,0.0339999999999918,True,1.0,True,frodobots_data/output_rides_12/ride_29831_20240411140913/recordings/e463873cfd49798ada4a36849457f44c_ride_29831__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_c95741_20240411140913_front_camera.mp4,frodobots_data/output_rides_12/ride_29831_20240411140913,,0.033999999999991815
20240411151643,front,378.016,378.05,0.0339999999999918,True,3.0,True,frodobots_data/output_rides_12/ride_29841_20240411151643/recordings/7939e849704e8b5824cd2fa564325857_ride_29841__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_c95741_20240411151643_front_camera.mp4,frodobots_data/output_rides_12/ride_29841_20240411151643,,0.033999999999991815
20240411160659,front,563.065999,563.1,0.0340009999999892,True,1.0,True,frodobots_data/output_rides_12/ride_29858_20240411160659/recordings/ef709a379643cd3166c8c48a801edd02_ride_29858__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_c95741_20240411160659_front_camera.mp4,frodobots_data/output_rides_12/ride_29858_20240411160659,,0.03400099999998929
