ts,camera,dur_2k,dur_7k,dur_diff,dur_match,ahash_dist,frame_match,path_2k,path_7k,ride_dir_2k,note,dur_diff_7k_minus_2k
20240410103646,front,512.616,512.65,0.0339999999999918,True,1.0,True,frodobots_data/output_rides_12/ride_29431_20240410103646/recordings/2da5d7c3ae4e1514d41f289bfe4436f1_ride_29431__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240410103646_front_camera.mp4,frodobots_data/output_rides_12/ride_29431_20240410103646,,0.033999999999991815
20240410115032,front,447.216,447.25,0.0339999999999918,True,1.0,True,frodobots_data/output_rides_12/ride_29447_20240410115032/recordings/17548a61d744de322c39788b6583ce30_ride_29447__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240410115032_front_camera.mp4,frodobots_data/output_rides_12/ride_29447_20240410115032,,0.033999999999991815
20240411083925,front,1073.566,1073.6,0.0339999999998781,True,2.0,True,frodobots_data/output_rides_12/ride_29770_20240411083925/recordings/793a780a454834c925baba9b9c97fbf2_ride_29770__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240411083925_front_camera.mp4,frodobots_data/output_rides_12/ride_29770_20240411083925,,0.03399999999987813
20240411102209,front,1164.866,1164.9,0.0340000000001055,True,2.0,True,frodobots_data/output_rides_12/ride_29800_20240411102209/recordings/fa633a6a744d7158a8eddab4d2ba4bfd_ride_29800__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_c95741_20240411102209_front_camera.mp4,frodobots_data/output_rides_12/ride_29800_20240411102209,,0.0340000000001055
20240411110102,front,158.216,158.25,0.0339999999999918,True,0.0,True,frodobots_data/output_rides_12/ride_29810_20240411110102/recordings/abc1b0e72f4977bf3b61638fcbcebeef_ride_29810__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_c95741_20240411110102_front_camera.mp4,frodobots_data/output_rides_12/ride_29810_20240411110102,,0.033999999999991815
20240411112821,front,1909.566,1909.6,0.0339999999998781,True,0.0,True,frodobots_data/output_rides_12/ride_29814_20240411112821/recordings/56527d4c0a4f3944b6a89eacb8b35062_ride_29814__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_c95741_20240411112821_front_camera.mp4,frodobots_data/output_rides_12/ride_29814_20240411112821,,0.03399999999987813
20240411133723,front,499.016,499.05,0.0339999999999918,True,0.0,True,frodobots_data/output_rides_12/ride_29828_20240411133723/recordings/e547c3228e4583df133bfeb66bdd941f_ride_29828__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_c95741_20240411133723_front_camera.mp4,frodobots_data/output_rides_12/ride_29828_20240411133723,,0.033999999999991815
20240411141618,front,178.916,178.95,0.0339999999999918,True,1.0,True,frodobots_data/output_rides_12/ride_29832_20240411141618/recordings/59f5272f5843c31896ddf8bfef12ac08_ride_29832__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_c95741_20240411141618_front_camera.mp4,frodobots_data/output_rides_12/ride_29832_20240411141618,,0.033999999999991815
20240411153950,front,389.466,389.5,0.0339999999999918,True,0.0,True,frodobots_data/output_rides_12/ride_29848_20240411153950/recordings/579f8129a04e89ad7e6b1a969e94517c_ride_29848__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_c95741_20240411153950_front_camera.mp4,frodobots_data/output_rides_12/ride_29848_20240411153950,,0.033999999999991815
20240411162636,front,569.616,569.65,0.0339999999999918,True,0.0,True,frodobots_data/output_rides_12/ride_29860_20240411162636/recordings/d5636454214aa7f1183a42927023935b_ride_29860__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_c95741_20240411162636_front_camera.mp4,frodobots_data/output_rides_12/ride_29860_20240411162636,,0.033999999999991815
20240411171948,front,318.916,318.95,0.0339999999999918,True,0.0,True,frodobots_data/output_rides_12/ride_29868_20240411171948/recordings/70e99627824847009a0b54b3ab7fe255_ride_29868__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_c95741_20240411171948_front_camera.mp4,frodobots_data/output_rides_12/ride_29868_20240411171948,,0.033999999999991815
20240412073903,front,260.816,260.85,0.0340000000000486,True,1.0,True,frodobots_data/output_rides_12/ride_30107_20240412073903/recordings/747f7476544fd8f4b7aa2e91fa124cc0_ride_30107__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_b36a50_20240412073903_front_camera.mp4,frodobots_data/output_rides_12/ride_30107_20240412073903,,0.03400000000004866
