ts,camera,dur_2k,dur_7k,dur_diff,dur_match,ahash_dist,frame_match,path_2k,path_7k,ride_dir_2k,note
20240418054405,front,247.716,247.75,0.033999999999991815,True,1,True,../frodobots/frodobots_data/output_rides_14/ride_32136_20240418054405/recordings/a34cac7a1d4579cdbf84c3824fdac772_ride_32136__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_315200_20240418054405_front_camera.mp4,../frodobots/frodobots_data/output_rides_14/ride_32136_20240418054405,
20240418061219,front,966.216,966.25,0.033999999999991815,True,1,True,../frodobots/frodobots_data/output_rides_14/ride_32155_20240418061219/recordings/f104c8a8454e5cdc66c9c18a080f6d75_ride_32155__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_e9ebea_20240418061219_front_camera.mp4,../frodobots/frodobots_data/output_rides_14/ride_32155_20240418061219,
20240418054530,front,295.966,296.0,0.033999999999991815,True,0,True,../frodobots/frodobots_data/output_rides_14/ride_32138_20240418054530/recordings/461d86891c470869d84c0c800d8dcf62_ride_32138__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_e9ebea_20240418054530_front_camera.mp4,../frodobots/frodobots_data/output_rides_14/ride_32138_20240418054530,
20240418055057,front,1218.099,1218.15,0.05100000000015825,True,0,True,../frodobots/frodobots_data/output_rides_14/ride_32142_20240418055057/recordings/fe4ea1f3614412a35bbb1089fff940f6_ride_32142__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_dfac7a_20240418055057_front_camera.mp4,../frodobots/frodobots_data/output_rides_14/ride_32142_20240418055057,
20240418063028,front,933.951,934.0,0.04899999999997817,True,1,True,../frodobots/frodobots_data/output_rides_14/ride_32164_20240418063028/recordings/b1327e88fa4029edae80e7bf33f5a8af_ride_32164__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_e9ebea_20240418063028_front_camera.mp4,../frodobots/frodobots_data/output_rides_14/ride_32164_20240418063028,
20240418055047,front,793.262999,793.3,0.03700099999991835,True,0,True,../frodobots/frodobots_data/output_rides_14/ride_32141_20240418055047/recordings/bbddd54b8d4081b821fedabcf314b951_ride_32141__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_315200_20240418055047_front_camera.mp4,../frodobots/frodobots_data/output_rides_14/ride_32141_20240418055047,
20240418063601,front,292.916,292.95,0.033999999999991815,True,2,True,../frodobots/frodobots_data/output_rides_14/ride_32167_20240418063601/recordings/171ce1027c4131001ed74bb4cc2f91eb_ride_32167__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_dfac7a_20240418063601_front_camera.mp4,../frodobots/frodobots_data/output_rides_14/ride_32167_20240418063601,
20240418064252,front,1031.934999,1031.95,0.015000999999983833,True,1,True,../frodobots/frodobots_data/output_rides_15/ride_32169_20240418064252/recordings/b3296db7664a7b9f51b870acddb38c1c_ride_32169__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_dfac7a_20240418064252_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32169_20240418064252,
20240418070630,front,961.266,961.3,0.033999999999991815,True,1,True,../frodobots/frodobots_data/output_rides_15/ride_32182_20240418070630/recordings/b42d641bc24d463490ac1b9b53829ec5_ride_32182__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_315200_20240418070630_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32182_20240418070630,
20240418065641,front,502.716,502.75,0.033999999999991815,True,0,True,../frodobots/frodobots_data/output_rides_15/ride_32176_20240418065641/recordings/5c0c178dc34c353229cf628cf9896faa_ride_32176__uid_s_1000__uid_e_video.m3u8,/home/ashish/fbots7k/extracted/frodobots_dataset/videos/ride_315200_20240418065641_front_camera.mp4,../frodobots/frodobots_data/output_rides_15/ride_32176_20240418065641,
