ride_idx,ride_id,ride_ts,start_row,end_row,num_rows,path
13878,ride_80fb8a_20240710221218,20240710221218,69915030,69927636,12606,videos/ride_80fb8a_20240710221218_front_camera.mp4
13879,ride_bed262_20240707063029,20240707063029,69927636,69952474,24838,videos/ride_bed262_20240707063029_front_camera.mp4
13880,ride_12c9d5_20240709110427,20240709110427,69952474,69963976,11502,videos/ride_12c9d5_20240709110427_front_camera.mp4
13881,ride_dceec4_20240707155150,20240707155150,69963976,69969533,5557,videos/ride_dceec4_20240707155150_front_camera.mp4
13882,ride_b41757_20240709215355,20240709215355,69969533,69972125,2592,videos/ride_b41757_20240709215355_front_camera.mp4
13883,ride_9e3881_20240707150449,20240707150449,69972125,69991654,19529,videos/ride_9e3881_20240707150449_front_camera.mp4
13884,ride_ea1a8e_20240709031457,20240709031457,69991654,69996971,5317,videos/ride_ea1a8e_20240709031457_front_camera.mp4
13885,ride_63f508_20240708030349,20240708030349,69996971,69999871,2900,videos/ride_63f508_20240708030349_front_camera.mp4
13886,ride_d7d93b_20240708020155,20240708020155,69999871,70006162,6291,videos/ride_d7d93b_20240708020155_front_camera.mp4
13887,ride_926131_20240708140529,20240708140529,70006162,70015345,9183,videos/ride_926131_20240708140529_front_camera.mp4
13888,ride_43b7c1_20240710082908,20240710082908,70015345,70027634,12289,videos/ride_43b7c1_20240710082908_front_camera.mp4
13889,ride_ea1a8e_20240708001947,20240708001947,70027634,70034504,6870,videos/ride_ea1a8e_20240708001947_front_camera.mp4
13890,ride_bed7c1_20240706212045,20240706212045,70034504,70043188,8684,videos/ride_bed7c1_20240706212045_front_camera.mp4
13891,ride_63f508_20240708022852,20240708022852,70043188,70047948,4760,videos/ride_63f508_20240708022852_front_camera.mp4
13892,ride_84808b_20240709072458,20240709072458,70047948,70056126,8178,videos/ride_84808b_20240709072458_front_camera.mp4
13893,ride_d7d93b_20240707073209,20240707073209,70056126,70056619,493,videos/ride_d7d93b_20240707073209_front_camera.mp4
13894,ride_8b391d_20240708081838,20240708081838,70056619,70063120,6501,videos/ride_8b391d_20240708081838_front_camera.mp4
13895,ride_84808b_20240709102337,20240709102337,70063120,70069929,6809,videos/ride_84808b_20240709102337_front_camera.mp4
13896,ride_40c2f4_20240707001756,20240707001756,70069929,70074584,4655,videos/ride_40c2f4_20240707001756_front_camera.mp4
13897,ride_12c9d5_20240710131013,20240710131013,70074584,70085335,10751,videos/ride_12c9d5_20240710131013_front_camera.mp4
13898,ride_40c2f4_20240710020441,20240710020441,70085335,70085637,302,videos/ride_40c2f4_20240710020441_front_camera.mp4
13899,ride_d7d93b_20240708021518,20240708021518,70085637,70092259,6622,videos/ride_d7d93b_20240708021518_front_camera.mp4
13900,ride_63f508_20240709022609,20240709022609,70092259,70097062,4803,videos/ride_63f508_20240709022609_front_camera.mp4
13901,ride_8b391d_20240707035622,20240707035622,70097062,70102460,5398,videos/ride_8b391d_20240707035622_front_camera.mp4
13902,ride_3908a7_20240708071835,20240708071835,70102460,70108569,6109,videos/ride_3908a7_20240708071835_front_camera.mp4
13903,ride_8b391d_20240707041217,20240707041217,70108569,70114094,5525,videos/ride_8b391d_20240707041217_front_camera.mp4
13904,ride_ea1a8e_20240709224708,20240709224708,70114094,70118155,4061,videos/ride_ea1a8e_20240709224708_front_camera.mp4
13905,ride_1d8d5a_20240708123958,20240708123958,70118155,70129402,11247,videos/ride_1d8d5a_20240708123958_front_camera.mp4
13906,ride_8b391d_20240710032355,20240710032355,70129402,70136076,6674,videos/ride_8b391d_20240710032355_front_camera.mp4
13907,ride_b41757_20240709000434,20240709000434,70136076,70162842,26766,videos/ride_b41757_20240709000434_front_camera.mp4
13908,ride_12b3fe_20240706205849,20240706205849,70162842,70176450,13608,videos/ride_12b3fe_20240706205849_front_camera.mp4
13909,ride_c8033c_20240710133520,20240710133520,70176450,70181090,4640,videos/ride_c8033c_20240710133520_front_camera.mp4
13910,ride_80fb8a_20240709185753,20240709185753,70181090,70182039,949,videos/ride_80fb8a_20240709185753_front_camera.mp4
13911,ride_ea1a8e_20240708004755,20240708004755,70182039,70187797,5758,videos/ride_ea1a8e_20240708004755_front_camera.mp4
13912,ride_ed45be_20240707210548,20240707210548,70187797,70194390,6593,videos/ride_ed45be_20240707210548_front_camera.mp4
13913,ride_40c2f4_20240709050531,20240709050531,70194390,70199364,4974,videos/ride_40c2f4_20240709050531_front_camera.mp4
13914,ride_40c2f4_20240707010935,20240707010935,70199364,70205572,6208,videos/ride_40c2f4_20240707010935_front_camera.mp4
13915,ride_12c9d5_20240709112538,20240709112538,70205572,70222110,16538,videos/ride_12c9d5_20240709112538_front_camera.mp4
13916,ride_9e3881_20240708143719,20240708143719,70222110,70235300,13190,videos/ride_9e3881_20240708143719_front_camera.mp4
13917,ride_8b391d_20240708040523,20240708040523,70235300,70241734,6434,videos/ride_8b391d_20240708040523_front_camera.mp4
13918,ride_84808b_20240710101203,20240710101203,70241734,70248830,7096,videos/ride_84808b_20240710101203_front_camera.mp4
13919,ride_40c2f4_20240707022815,20240707022815,70248830,70253349,4519,videos/ride_40c2f4_20240707022815_front_camera.mp4
13920,ride_1496ed_20240709050146,20240709050146,70253349,70253593,244,videos/ride_1496ed_20240709050146_front_camera.mp4
13921,ride_e2693b_20240710015141,20240710015141,70253593,70259955,6362,videos/ride_e2693b_20240710015141_front_camera.mp4
13922,ride_bed7c1_20240706203353,20240706203353,70259955,70262897,2942,videos/ride_bed7c1_20240706203353_front_camera.mp4
13923,ride_97434e_20240709101612,20240709101612,70262897,70267099,4202,videos/ride_97434e_20240709101612_front_camera.mp4
13924,ride_e2693b_20240710033454,20240710033454,70267099,70278309,11210,videos/ride_e2693b_20240710033454_front_camera.mp4
13925,ride_8b391d_20240710010736,20240710010736,70278309,70284186,5877,videos/ride_8b391d_20240710010736_front_camera.mp4
13926,ride_7c093b_20240710120015,20240710120015,70284186,70286530,2344,videos/ride_7c093b_20240710120015_front_camera.mp4
13927,ride_8b391d_20240707082541,20240707082541,70286530,70292199,5669,videos/ride_8b391d_20240707082541_front_camera.mp4
13928,ride_80fb8a_20240710160810,20240710160810,70292199,70308652,16453,videos/ride_80fb8a_20240710160810_front_camera.mp4
13929,ride_926131_20240708125453,20240708125453,70308652,70319966,11314,videos/ride_926131_20240708125453_front_camera.mp4
13930,ride_40c2f4_20240708052050,20240708052050,70319966,70326254,6288,videos/ride_40c2f4_20240708052050_front_camera.mp4
13931,ride_12c9d5_20240709152951,20240709152951,70326254,70334507,8253,videos/ride_12c9d5_20240709152951_front_camera.mp4
13932,ride_12b3fe_20240706214925,20240706214925,70334507,70338272,3765,videos/ride_12b3fe_20240706214925_front_camera.mp4
13933,ride_40c2f4_20240710024239,20240710024239,70338272,70344251,5979,videos/ride_40c2f4_20240710024239_front_camera.mp4
