scene,model,base_blur,end_blur,d_blur,x_blur,B
r12,ours_4node,430.7,593.0,162.4,-6.400000000000006,6.400000000000006
r12,ours_noadaln,345.2,238.0,-107.1,-275.9,275.9
r12,ours_noatok,572.0,727.6,155.6,-13.200000000000017,13.200000000000017
r12,ours_nocritic,413.2,336.2,-77.0,-245.8,245.8
r12,ours_pca2,595.2,867.0,271.8,103.0,-103.0
r12,ours_pca4,558.2,953.8,395.7,226.89999999999998,-226.89999999999998
r12,ours_pca8,522.2,803.4,281.2,112.39999999999998,-112.39999999999998
r12,worldcam,958.8,1186.9,228.1,59.29999999999998,-59.29999999999998
r12,worldplay,499.3,517.6,18.3,-150.5,150.5
r12,yume,377.8,553.0,175.2,6.399999999999977,-6.399999999999977
r13,astra,155.6,879.3,723.7,746.75,-746.75
r13,matrixgame,283.8,499.8,215.9,238.95000000000002,-238.95000000000002
r13,minwm,691.5,648.6,-42.9,-19.849999999999998,19.849999999999998
r13,ours_16node,1034.7,1176.5,141.8,164.85000000000002,-164.85000000000002
r13,ours_4node,891.3,787.0,-104.2,-81.15,81.15
r13,ours_noadaln,785.5,269.4,-516.1,-493.05,493.05
r13,ours_noatok,947.9,884.0,-63.9,-40.849999999999994,40.849999999999994
r13,ours_nocritic,968.5,736.0,-232.4,-209.35,209.35
r13,ours_pca2,958.0,632.3,-325.6,-302.55,302.55
r13,ours_pca4,1034.3,1134.4,100.1,123.14999999999999,-123.14999999999999
r13,ours_pca8,1006.9,1082.4,75.6,98.64999999999999,-98.64999999999999
r13,worldcam,1182.1,994.7,-187.4,-164.35,164.35
r13,worldplay,511.7,581.3,69.6,92.64999999999999,-92.64999999999999
r13,yume,377.8,374.6,-3.2,19.85,-19.85
r14,astra,858.9,768.8,-90.1,-113.85,113.85
r14,matrixgame,485.8,591.1,105.3,81.55,-81.55
r14,minwm,889.2,968.8,79.6,55.849999999999994,-55.849999999999994
r14,ours_16node,968.2,1158.1,190.0,166.25,-166.25
r14,ours_4node,888.2,868.3,-19.9,-43.65,43.65
r14,ours_noadaln,835.7,364.1,-471.6,-495.35,495.35
r14,ours_noatok,929.5,1027.9,98.4,74.65,-74.65
r14,ours_nocritic,909.7,900.7,-9.0,-32.75,32.75
r14,ours_pca2,935.7,992.2,56.5,32.75,-32.75
r14,ours_pca4,1014.7,1291.2,276.5,252.75,-252.75
r14,ours_pca8,969.0,1154.4,185.4,161.65,-161.65
r14,worldcam,1219.7,989.2,-230.5,-254.25,254.25
r14,worldplay,1234.0,1220.3,-13.7,-37.45,37.45
r14,yume,380.7,196.6,-184.1,-207.85,207.85
r15,astra,1273.1,1381.9,108.8,-78.75000000000001,78.75000000000001
r15,matrixgame,748.3,851.1,102.8,-84.75000000000001,84.75000000000001
r15,minwm,1459.1,1406.6,-52.5,-240.05,240.05
r15,ours_16node,1702.9,2761.1,1058.2,870.6500000000001,-870.6500000000001
r15,ours_4node,1384.4,1603.7,219.3,31.75,-31.75
