scene,model,dino_drift
r21_FR,ours_nocritic,0.13
r21_L,ours_nocritic,0.1527
r21_R,ours_nocritic,0.1093
r22_B,ours_nocritic,0.0471
r22_BL,ours_nocritic,0.0673
r22_BR,ours_nocritic,0.083
r22_F,ours_nocritic,0.0688
r22_FL,ours_nocritic,0.087
r22_FR,ours_nocritic,0.076
r22_L,ours_nocritic,0.0458
r22_R,ours_nocritic,0.045
r23_B,ours_nocritic,0.1703
r23_BL,ours_nocritic,0.1628
r23_BR,ours_nocritic,0.234
r23_F,ours_nocritic,0.1677
r23_FL,ours_nocritic,0.1482
r23_FR,ours_nocritic,0.2106
r23_L,ours_nocritic,0.1151
r23_R,ours_nocritic,0.2086
r24_B,ours_nocritic,0.0532
r24_BL,ours_nocritic,0.0555
r24_BR,ours_nocritic,0.2199
r24_F,ours_nocritic,0.056
r24_FL,ours_nocritic,0.0572
r24_FR,ours_nocritic,0.0545
r24_L,ours_nocritic,0.0526
r24_R,ours_nocritic,0.0561
r25_B,ours_nocritic,0.5583
r25_BL,ours_nocritic,0.5675
r25_BR,ours_nocritic,0.5511
r25_F,ours_nocritic,0.562
r25_FL,ours_nocritic,0.5647
r25_FR,ours_nocritic,0.554
r25_L,ours_nocritic,0.564
r25_R,ours_nocritic,0.584
r26_B,ours_nocritic,0.2334
r26_BL,ours_nocritic,0.2074
r26_BR,ours_nocritic,0.2958
r26_F,ours_nocritic,0.3457
r26_FL,ours_nocritic,0.5543
r26_FR,ours_nocritic,0.2972
r26_L,ours_nocritic,0.231
r26_R,ours_nocritic,0.2412
r27_B,ours_nocritic,0.1295
r27_BL,ours_nocritic,0.1623
r27_BR,ours_nocritic,0.3463
r27_F,ours_nocritic,0.1898
r27_FL,ours_nocritic,0.1388
r27_FR,ours_nocritic,0.3665
r27_L,ours_nocritic,0.1375
r27_R,ours_nocritic,0.3947
r28_B,ours_nocritic,0.0599
r28_BL,ours_nocritic,0.0639
r28_BR,ours_nocritic,0.0555
r28_F,ours_nocritic,0.0571
r28_FL,ours_nocritic,0.0621
r28_FR,ours_nocritic,0.0584
r28_L,ours_nocritic,0.0571
r28_R,ours_nocritic,0.0566
r29_B,ours_nocritic,0.1148
r29_BL,ours_nocritic,0.1457
r29_BR,ours_nocritic,0.1924
r29_F,ours_nocritic,0.1413
r29_FL,ours_nocritic,0.1239
r29_FR,ours_nocritic,0.1289
r29_L,ours_nocritic,0.1012
r29_R,ours_nocritic,0.1746
r30_B,ours_nocritic,0.1795
r30_BL,ours_nocritic,0.2523
r30_BR,ours_nocritic,0.2588
r30_F,ours_nocritic,0.2484
r30_FL,ours_nocritic,0.2155
r30_FR,ours_nocritic,0.2453
