scene,model,static_inl,static
r22_BL,ours_nocritic,1757,1
r22_BR,ours_nocritic,1291,1
r22_F,ours_nocritic,1719,1
r22_FL,ours_nocritic,1660,1
r22_FR,ours_nocritic,1620,1
r22_L,ours_nocritic,2090,1
r22_R,ours_nocritic,2038,1
r23_B,ours_nocritic,895,1
r23_BL,ours_nocritic,868,1
r23_BR,ours_nocritic,420,0
r23_F,ours_nocritic,1000,1
r23_FL,ours_nocritic,939,1
r23_FR,ours_nocritic,566,0
r23_L,ours_nocritic,1732,1
r23_R,ours_nocritic,643,1
r24_B,ours_nocritic,2188,1
r24_BL,ours_nocritic,2185,1
r24_BR,ours_nocritic,722,1
r24_F,ours_nocritic,2190,1
r24_FL,ours_nocritic,2162,1
r24_FR,ours_nocritic,2173,1
r24_L,ours_nocritic,2164,1
r24_R,ours_nocritic,2192,1
r25_B,ours_nocritic,945,1
r25_BL,ours_nocritic,949,1
r25_BR,ours_nocritic,1030,1
r25_F,ours_nocritic,979,1
r25_FL,ours_nocritic,882,1
r25_FR,ours_nocritic,962,1
r25_L,ours_nocritic,1028,1
r25_R,ours_nocritic,1008,1
r26_B,ours_nocritic,168,0
r26_BL,ours_nocritic,264,0
r26_BR,ours_nocritic,121,0
r26_F,ours_nocritic,134,0
r26_FL,ours_nocritic,70,0
r26_FR,ours_nocritic,87,0
r26_L,ours_nocritic,216,0
r26_R,ours_nocritic,109,0
r27_B,ours_nocritic,576,0
r27_BL,ours_nocritic,495,0
r27_BR,ours_nocritic,406,0
r27_F,ours_nocritic,530,0
r27_FL,ours_nocritic,397,0
r27_FR,ours_nocritic,429,0
r27_L,ours_nocritic,815,1
r27_R,ours_nocritic,309,0
r28_B,ours_nocritic,1847,1
r28_BL,ours_nocritic,1869,1
r28_BR,ours_nocritic,1920,1
r28_F,ours_nocritic,1868,1
r28_FL,ours_nocritic,1750,1
r28_FR,ours_nocritic,1865,1
r28_L,ours_nocritic,1866,1
r28_R,ours_nocritic,1901,1
r29_B,ours_nocritic,1279,1
r29_BL,ours_nocritic,1171,1
r29_BR,ours_nocritic,439,0
r29_F,ours_nocritic,566,0
r29_FL,ours_nocritic,459,0
r29_FR,ours_nocritic,407,0
r29_L,ours_nocritic,1160,1
r29_R,ours_nocritic,974,1
r30_B,ours_nocritic,537,0
r30_BL,ours_nocritic,492,0
r30_BR,ours_nocritic,458,0
r30_F,ours_nocritic,451,0
r30_FL,ours_nocritic,382,0
r30_FR,ours_nocritic,478,0
r30_L,ours_nocritic,793,1
r30_R,ours_nocritic,17,0
r31_B,ours_nocritic,572,0
r31_BL,ours_nocritic,569,0
r31_BR,ours_nocritic,442,0
r31_F,ours_nocritic,514,0
r31_FL,ours_nocritic,548,0
r31_FR,ours_nocritic,470,0
r31_L,ours_nocritic,611,1
r31_R,ours_nocritic,453,0
