uid,model,scene,n,fps,ctx,flag,n_events,score,cls,birth,birth_s,branch,onset,zprobe,bncc,box
ours_pca8_r09_FL,ours_pca8,r09_FL,108,16.0,12,0,0,,,,,,,,,
ours_pca4_r09_FL,ours_pca4,r09_FL,108,16.0,12,0,0,,,,,,,,,
ours_pca2_r09_FL,ours_pca2,r09_FL,108,16.0,12,0,0,,,,,,,,,
ours_16node_r09_FL,ours_16node,r09_FL,108,16.0,12,0,0,,,,,,,,,
ours_4node_r09_FL,ours_4node,r09_FL,108,16.0,12,0,0,,,,,,,,,
ours_noatok_r09_FL,ours_noatok,r09_FL,108,16.0,12,0,0,,,,,,,,,
ours_noadaln_r09_FL,ours_noadaln,r09_FL,108,16.0,12,0,0,,,,,,,,,
astra_r09_FR,astra,r09_FR,125,20.0,4,0,0,,,,,,,,,
matrixgame_r09_FR,matrixgame,r09_FR,152,25.0,1,0,0,,,,,,,,,
minwm_r09_FR,minwm,r09_FR,77,16.0,13,0,0,,,,,,,,,
worldcam_r09_FR,worldcam,r09_FR,241,30.0,65,0,0,,,,,,,,,
worldplay_r09_FR,worldplay,r09_FR,146,24.0,1,0,0,,,,,,,,,
yume_r09_FR,yume,r09_FR,98,16.0,1,0,0,,,,,,,,,
ours_pca8_r09_FR,ours_pca8,r09_FR,108,16.0,12,0,0,,,,,,,,,
ours_pca4_r09_FR,ours_pca4,r09_FR,108,16.0,12,0,0,,,,,,,,,
ours_pca2_r09_FR,ours_pca2,r09_FR,108,16.0,12,0,0,,,,,,,,,
ours_16node_r09_FR,ours_16node,r09_FR,108,16.0,12,0,0,,,,,,,,,
ours_4node_r09_FR,ours_4node,r09_FR,108,16.0,12,0,0,,,,,,,,,
ours_noatok_r09_FR,ours_noatok,r09_FR,108,16.0,12,0,0,,,,,,,,,
ours_noadaln_r09_FR,ours_noadaln,r09_FR,108,16.0,12,0,0,,,,,,,,,
astra_r09_L,astra,r09_L,125,20.0,4,0,0,,,,,,,,,
matrixgame_r09_L,matrixgame,r09_L,152,25.0,1,0,0,,,,,,,,,
minwm_r09_L,minwm,r09_L,77,16.0,13,0,0,,,,,,,,,
worldcam_r09_L,worldcam,r09_L,241,30.0,65,0,0,,,,,,,,,
worldplay_r09_L,worldplay,r09_L,146,24.0,1,0,0,,,,,,,,,
yume_r09_L,yume,r09_L,98,16.0,1,0,0,,,,,,,,,
ours_pca8_r09_L,ours_pca8,r09_L,108,16.0,12,0,0,,,,,,,,,
ours_pca4_r09_L,ours_pca4,r09_L,108,16.0,12,0,0,,,,,,,,,
ours_pca2_r09_L,ours_pca2,r09_L,108,16.0,12,0,0,,,,,,,,,
ours_16node_r09_L,ours_16node,r09_L,108,16.0,12,0,0,,,,,,,,,
ours_4node_r09_L,ours_4node,r09_L,108,16.0,12,0,0,,,,,,,,,
ours_noatok_r09_L,ours_noatok,r09_L,108,16.0,12,0,0,,,,,,,,,
