scene,model,dino_drift
r01_FR,worldcam,0.8892
r01_FR,worldplay,0.9085
r01_FR,yume,0.5451
r01_FR,ours_pca8,0.2895
r01_FR,ours_pca4,0.5395
r01_FR,ours_pca2,0.3032
r01_FR,ours_16node,0.287
r01_FR,ours_4node,0.5103
r01_FR,ours_noatok,0.2572
r01_FR,ours_noadaln,0.4102
r01_L,astra,0.4281
r01_L,matrixgame,0.8091
r01_L,minwm,0.2596
r01_L,worldcam,0.8392
r01_L,worldplay,0.6397
r01_L,yume,0.4739
r01_L,ours_pca8,0.4974
r01_L,ours_pca4,0.5169
r01_L,ours_pca2,0.6475
r01_L,ours_16node,0.6162
r01_L,ours_4node,0.6036
r01_L,ours_noatok,0.4037
r01_L,ours_noadaln,0.1944
r01_R,astra,0.8069
r01_R,matrixgame,0.7365
r01_R,minwm,0.3016
r01_R,worldcam,0.5857
r01_R,worldplay,0.8216
r01_R,yume,0.4426
r01_R,ours_pca8,0.4332
r01_R,ours_pca4,0.4626
r01_R,ours_pca2,0.5832
r01_R,ours_16node,0.5109
r01_R,ours_4node,0.5977
r01_R,ours_noatok,0.4835
r01_R,ours_noadaln,0.4148
r02_B,astra,0.8192
r02_B,matrixgame,0.4576
r02_B,minwm,0.2052
r02_B,worldcam,0.1145
r02_B,worldplay,0.6062
r02_B,yume,0.3027
r02_B,ours_pca8,0.3021
r02_B,ours_pca4,0.3402
r02_B,ours_pca2,0.1576
r02_B,ours_16node,0.3875
r02_B,ours_4node,0.1637
r02_B,ours_noatok,0.2173
r02_B,ours_noadaln,0.2642
r02_BL,astra,0.5163
r02_BL,matrixgame,0.7031
r02_BL,minwm,0.4157
r02_BL,worldcam,0.8983
r02_BL,worldplay,0.6348
r02_BL,yume,0.3692
r02_BL,ours_pca8,0.3987
r02_BL,ours_pca4,0.4447
r02_BL,ours_pca2,0.3074
r02_BL,ours_16node,0.3676
r02_BL,ours_4node,0.4595
r02_BL,ours_noatok,0.3261
r02_BL,ours_noadaln,0.2483
r02_BR,astra,0.5787
r02_BR,matrixgame,0.8829
r02_BR,minwm,0.3608
r02_BR,worldcam,0.7766
r02_BR,worldplay,0.7253
r02_BR,yume,0.5218
r02_BR,ours_pca8,0.4946
r02_BR,ours_pca4,0.4924
r02_BR,ours_pca2,0.3879
r02_BR,ours_16node,0.5216
r02_BR,ours_4node,0.4062
r02_BR,ours_noatok,0.6595
r02_BR,ours_noadaln,0.4274
r02_F,astra,0.3367
r02_F,matrixgame,0.5802
r02_F,minwm,0.4507
r02_F,worldcam,0.2122
r02_F,worldplay,0.6601
r02_F,yume,0.3144
r02_F,ours_pca8,0.2694
r02_F,ours_pca4,0.2826
r02_F,ours_pca2,0.3096
r02_F,ours_16node,0.1961
r02_F,ours_4node,0.2646
r02_F,ours_noatok,0.2675
r02_F,ours_noadaln,0.2697
r02_FL,astra,0.2858
r02_FL,matrixgame,0.6843
r02_FL,minwm,0.4837
r02_FL,worldcam,0.853
r02_FL,worldplay,0.6632
r02_FL,yume,0.2399
r02_FL,ours_pca8,0.2635
r02_FL,ours_pca4,0.3023
r02_FL,ours_pca2,0.3442
r02_FL,ours_16node,0.3153
r02_FL,ours_4node,0.3577
r02_FL,ours_noatok,0.334
r02_FL,ours_noadaln,0.2757
r02_FR,astra,0.308
r02_FR,matrixgame,0.8788
r02_FR,minwm,0.3396
r02_FR,worldcam,0.7789
r02_FR,worldplay,0.573
r02_FR,yume,0.4258
r02_FR,ours_pca8,0.3711
r02_FR,ours_pca4,0.4386
r02_FR,ours_pca2,0.3835
r02_FR,ours_16node,0.3473
r02_FR,ours_4node,0.4089
r02_FR,ours_noatok,0.4066
r02_FR,ours_noadaln,0.456
r02_L,astra,0.5851
r02_L,matrixgame,0.8566
r02_L,minwm,0.3211
r02_L,worldcam,0.8805
r02_L,worldplay,0.5695
r02_L,yume,0.2817
r02_L,ours_pca8,0.4207
r02_L,ours_pca4,0.4542
r02_L,ours_pca2,0.4431
r02_L,ours_16node,0.4099
r02_L,ours_4node,0.5182
r02_L,ours_noatok,0.4314
r02_L,ours_noadaln,0.2741
r02_R,astra,0.5842
r02_R,matrixgame,1.1117
r02_R,minwm,0.1998
r02_R,worldcam,0.7576
r02_R,worldplay,0.687
r02_R,yume,0.3817
r02_R,ours_pca8,0.5111
r02_R,ours_pca4,0.5643
r02_R,ours_pca2,0.8498
r02_R,ours_16node,0.4442
r02_R,ours_4node,0.7258
r02_R,ours_noatok,0.6055
r02_R,ours_noadaln,0.4032
r03_B,astra,0.1583
r03_B,matrixgame,0.6379
r03_B,minwm,0.1607
r03_B,worldcam,0.3282
r03_B,worldplay,0.33
r03_B,yume,0.4138
r03_B,ours_pca8,0.3288
r03_B,ours_pca4,0.5387
r03_B,ours_pca2,0.3303
r03_B,ours_16node,0.5515
r03_B,ours_4node,0.3899
r03_B,ours_noatok,0.3771
r03_B,ours_noadaln,0.3639
r03_BL,astra,0.4501
r03_BL,matrixgame,0.9898
r03_BL,minwm,0.2827
