model,scene,direction,feature_valid,static_inliers,static,active
16node,r20_R,R,True,351,0,1
16node,r21_B,B,False,8,0,0
16node,r21_BL,BL,False,5,0,0
16node,r21_BR,BR,False,7,0,0
16node,r21_F,F,False,7,0,0
16node,r21_FL,FL,False,5,0,0
16node,r21_FR,FR,False,7,0,0
16node,r21_L,L,False,1,0,0
16node,r21_R,R,False,7,0,0
16node,r22_B,B,True,404,0,1
16node,r22_BL,BL,True,277,0,1
16node,r22_BR,BR,True,108,0,1
16node,r22_F,F,True,305,0,1
16node,r22_FL,FL,True,357,0,1
16node,r22_FR,FR,True,63,0,1
16node,r22_L,L,True,324,0,1
16node,r22_R,R,True,119,0,1
16node,r23_B,B,True,281,0,1
16node,r23_BL,BL,True,342,0,1
16node,r23_BR,BR,True,368,0,1
16node,r23_F,F,True,472,0,1
16node,r23_FL,FL,True,429,0,1
16node,r23_FR,FR,True,343,0,1
16node,r23_L,L,True,356,0,1
16node,r23_R,R,True,315,0,1
16node,r24_B,B,True,354,0,1
16node,r24_BL,BL,True,304,0,1
16node,r24_BR,BR,True,184,0,1
16node,r24_F,F,True,414,0,1
16node,r24_FL,FL,True,192,0,1
16node,r24_FR,FR,True,382,0,1
16node,r24_L,L,True,333,0,1
16node,r24_R,R,True,386,0,1
16node,r25_B,B,True,18,0,1
16node,r25_BL,BL,True,12,0,1
16node,r25_BR,BR,True,13,0,1
16node,r25_F,F,True,39,0,1
16node,r25_FL,FL,True,62,0,1
16node,r25_FR,FR,True,12,0,1
16node,r25_L,L,True,13,0,1
16node,r25_R,R,True,25,0,1
16node,r26_B,B,True,58,0,1
16node,r26_BL,BL,True,94,0,1
16node,r26_BR,BR,True,30,0,1
16node,r26_F,F,True,12,0,1
16node,r26_FL,FL,True,12,0,1
16node,r26_FR,FR,True,26,0,1
16node,r26_L,L,True,60,0,1
16node,r26_R,R,True,19,0,1
16node,r27_B,B,True,270,0,1
16node,r27_BL,BL,True,139,0,1
16node,r27_BR,BR,True,287,0,1
16node,r27_F,F,True,253,0,1
16node,r27_FL,FL,True,331,0,1
16node,r27_FR,FR,True,214,0,1
16node,r27_L,L,True,306,0,1
16node,r27_R,R,True,327,0,1
16node,r28_B,B,True,333,0,1
16node,r28_BL,BL,True,378,0,1
16node,r28_BR,BR,True,307,0,1
16node,r28_F,F,True,586,0,1
16node,r28_FL,FL,True,379,0,1
16node,r28_FR,FR,True,395,0,1
16node,r28_L,L,True,241,0,1
16node,r28_R,R,True,192,0,1
16node,r29_B,B,True,217,0,1
16node,r29_BL,BL,True,202,0,1
16node,r29_BR,BR,True,38,0,1
16node,r29_F,F,True,249,0,1
16node,r29_FL,FL,True,86,0,1
16node,r29_FR,FR,True,77,0,1
16node,r29_L,L,True,95,0,1
16node,r29_R,R,True,33,0,1
16node,r30_B,B,True,146,0,1
16node,r30_BL,BL,True,130,0,1
16node,r30_BR,BR,True,160,0,1
16node,r30_F,F,True,326,0,1
16node,r30_FL,FL,True,226,0,1
16node,r30_FR,FR,True,343,0,1
16node,r30_L,L,True,36,0,1
16node,r30_R,R,True,152,0,1
16node,r31_B,B,True,135,0,1
16node,r31_BL,BL,True,56,0,1
16node,r31_BR,BR,True,13,0,1
16node,r31_F,F,True,368,0,1
16node,r31_FL,FL,True,106,0,1
16node,r31_FR,FR,True,104,0,1
16node,r31_L,L,True,13,0,1
16node,r31_R,R,True,11,0,1
4node,r00_B,B,True,372,0,1
4node,r00_BL,BL,True,12,0,1
4node,r00_BR,BR,True,169,0,1
4node,r00_F,F,True,355,0,1
4node,r00_FL,FL,True,167,0,1
4node,r00_FR,FR,True,417,0,1
4node,r00_L,L,True,17,0,1
4node,r00_R,R,True,97,0,1
4node,r01_B,B,True,818,1,0
4node,r01_BL,BL,True,198,0,1
4node,r01_BR,BR,True,164,0,1
4node,r01_F,F,True,225,0,1
4node,r01_FL,FL,True,509,0,1
4node,r01_FR,FR,True,301,0,1
4node,r01_L,L,True,189,0,1
4node,r01_R,R,True,0,0,1
4node,r02_B,B,True,407,0,1
4node,r02_BL,BL,True,28,0,1
4node,r02_BR,BR,True,22,0,1
4node,r02_F,F,True,76,0,1
4node,r02_FL,FL,True,26,0,1
4node,r02_FR,FR,True,15,0,1
4node,r02_L,L,True,17,0,1
4node,r02_R,R,True,10,0,1
4node,r03_B,B,True,37,0,1
4node,r03_BL,BL,True,12,0,1
4node,r03_BR,BR,True,6,0,1
4node,r03_F,F,True,18,0,1
4node,r03_FL,FL,True,14,0,1
4node,r03_FR,FR,True,12,0,1
4node,r03_L,L,True,12,0,1
4node,r03_R,R,True,10,0,1
4node,r04_B,B,True,167,0,1
4node,r04_BL,BL,True,13,0,1
4node,r04_BR,BR,True,299,0,1
4node,r04_F,F,True,240,0,1
4node,r04_FL,FL,True,76,0,1
4node,r04_FR,FR,True,162,0,1
4node,r04_L,L,True,101,0,1
4node,r04_R,R,True,284,0,1
4node,r05_B,B,True,268,0,1
4node,r05_BL,BL,True,17,0,1
4node,r05_BR,BR,True,20,0,1
4node,r05_F,F,True,138,0,1
4node,r05_FL,FL,True,62,0,1
4node,r05_FR,FR,True,71,0,1
4node,r05_L,L,True,12,0,1
4node,r05_R,R,True,27,0,1
4node,r06_B,B,True,271,0,1
4node,r06_BL,BL,True,9,0,1
4node,r06_BR,BR,True,89,0,1
4node,r06_F,F,True,462,0,1
4node,r06_FL,FL,True,0,0,1
4node,r06_FR,FR,True,278,0,1
4node,r06_L,L,True,10,0,1
4node,r06_R,R,True,12,0,1
4node,r07_B,B,True,592,0,1
4node,r07_BL,BL,True,161,0,1
4node,r07_BR,BR,True,118,0,1
4node,r07_F,F,True,304,0,1
4node,r07_FL,FL,True,492,0,1
4node,r07_FR,FR,True,11,0,1
4node,r07_L,L,True,23,0,1
4node,r07_R,R,True,84,0,1
4node,r08_B,B,True,263,0,1
4node,r08_BL,BL,True,11,0,1
4node,r08_BR,BR,True,23,0,1
4node,r08_F,F,True,244,0,1
4node,r08_FL,FL,True,123,0,1
4node,r08_FR,FR,True,58,0,1
4node,r08_L,L,True,11,0,1
4node,r08_R,R,True,10,0,1
4node,r09_B,B,True,406,0,1
4node,r09_BL,BL,True,53,0,1
4node,r09_BR,BR,True,25,0,1
4node,r09_F,F,True,209,0,1
4node,r09_FL,FL,True,97,0,1
4node,r09_FR,FR,True,80,0,1
4node,r09_L,L,True,72,0,1
4node,r09_R,R,True,13,0,1
4node,r10_B,B,True,659,1,0
4node,r10_BL,BL,True,11,0,1
4node,r10_BR,BR,True,175,0,1
4node,r10_F,F,True,226,0,1
4node,r10_FL,FL,True,115,0,1
4node,r10_FR,FR,True,441,0,1
4node,r10_L,L,True,11,0,1
4node,r10_R,R,True,46,0,1
4node,r11_B,B,False,0,0,0
4node,r11_BL,BL,False,7,0,0
4node,r11_BR,BR,False,9,0,0
4node,r11_F,F,False,7,0,0
4node,r11_FL,FL,False,8,0,0
4node,r11_FR,FR,False,8,0,0
4node,r11_L,L,False,9,0,0
4node,r11_R,R,False,6,0,0
4node,r12_B,B,True,17,0,1
4node,r12_BL,BL,True,6,0,1
4node,r12_BR,BR,True,17,0,1
4node,r12_F,F,True,22,0,1
4node,r12_FL,FL,True,10,0,1
4node,r12_FR,FR,True,49,0,1
4node,r12_L,L,True,14,0,1
4node,r12_R,R,True,10,0,1
4node,r13_B,B,True,224,0,1
4node,r13_BL,BL,True,28,0,1
4node,r13_BR,BR,True,110,0,1
4node,r13_F,F,True,181,0,1
4node,r13_FL,FL,True,186,0,1
4node,r13_FR,FR,True,105,0,1
4node,r13_L,L,True,41,0,1
4node,r13_R,R,True,11,0,1
4node,r14_B,B,True,224,0,1
4node,r14_BL,BL,True,11,0,1
4node,r14_BR,BR,True,58,0,1
4node,r14_F,F,True,88,0,1
4node,r14_FL,FL,True,27,0,1
4node,r14_FR,FR,True,15,0,1
4node,r14_L,L,True,11,0,1
4node,r14_R,R,True,16,0,1
4node,r15_B,B,True,242,0,1
4node,r15_BL,BL,True,12,0,1
4node,r15_BR,BR,True,94,0,1
4node,r15_F,F,True,81,0,1
4node,r15_FL,FL,True,91,0,1
4node,r15_FR,FR,True,61,0,1
4node,r15_L,L,True,13,0,1
4node,r15_R,R,True,35,0,1
4node,r16_B,B,True,969,1,0
4node,r16_BL,BL,True,147,0,1
4node,r16_BR,BR,True,67,0,1
4node,r16_F,F,True,416,0,1
4node,r16_FL,FL,True,527,0,1
4node,r16_FR,FR,True,278,0,1
4node,r16_L,L,True,9,0,1
4node,r16_R,R,True,10,0,1
4node,r17_B,B,True,277,0,1
4node,r17_BL,BL,True,99,0,1
4node,r17_BR,BR,True,163,0,1
4node,r17_F,F,True,255,0,1
4node,r17_FL,FL,True,160,0,1
4node,r17_FR,FR,True,205,0,1
4node,r17_L,L,True,104,0,1
4node,r17_R,R,True,124,0,1
4node,r18_B,B,True,164,0,1
4node,r18_BL,BL,True,10,0,1
4node,r18_BR,BR,True,85,0,1
4node,r18_F,F,True,322,0,1
4node,r18_FL,FL,True,138,0,1
4node,r18_FR,FR,True,173,0,1
4node,r18_L,L,True,10,0,1
4node,r18_R,R,True,12,0,1
4node,r19_B,B,True,401,0,1
4node,r19_BL,BL,True,4,0,1
4node,r19_BR,BR,True,11,0,1
4node,r19_F,F,True,174,0,1
4node,r19_FL,FL,True,55,0,1
4node,r19_FR,FR,True,49,0,1
4node,r19_L,L,True,27,0,1
4node,r19_R,R,True,1,0,1
4node,r20_B,B,True,195,0,1
4node,r20_BL,BL,True,42,0,1
4node,r20_BR,BR,True,111,0,1
4node,r20_F,F,True,10,0,1
4node,r20_FL,FL,True,20,0,1
4node,r20_FR,FR,True,97,0,1
4node,r20_L,L,True,121,0,1
4node,r20_R,R,True,35,0,1
4node,r21_B,B,False,0,0,0
4node,r21_BL,BL,False,6,0,0
4node,r21_BR,BR,False,7,0,0
4node,r21_F,F,False,0,0,0
4node,r21_FL,FL,False,6,0,0
4node,r21_FR,FR,False,6,0,0
4node,r21_L,L,False,6,0,0
4node,r21_R,R,False,6,0,0
4node,r22_B,B,True,512,0,1
4node,r22_BL,BL,True,259,0,1
4node,r22_BR,BR,True,17,0,1
4node,r22_F,F,True,177,0,1
4node,r22_FL,FL,True,263,0,1
4node,r22_FR,FR,True,51,0,1
4node,r22_L,L,True,165,0,1
4node,r22_R,R,True,11,0,1
4node,r23_B,B,True,239,0,1
4node,r23_BL,BL,True,96,0,1
4node,r23_BR,BR,True,258,0,1
4node,r23_F,F,True,332,0,1
4node,r23_FL,FL,True,131,0,1
4node,r23_FR,FR,True,287,0,1
4node,r23_L,L,True,17,0,1
4node,r23_R,R,True,28,0,1
4node,r24_B,B,True,304,0,1
4node,r24_BL,BL,True,13,0,1
4node,r24_BR,BR,True,103,0,1
4node,r24_F,F,True,336,0,1
4node,r24_FL,FL,True,148,0,1
4node,r24_FR,FR,True,161,0,1
4node,r24_L,L,True,12,0,1
4node,r24_R,R,True,31,0,1
4node,r25_B,B,True,15,0,1
4node,r25_BL,BL,True,12,0,1
4node,r25_BR,BR,True,11,0,1
4node,r25_F,F,True,24,0,1
4node,r25_FL,FL,True,30,0,1
4node,r25_FR,FR,True,11,0,1
4node,r25_L,L,True,13,0,1
4node,r25_R,R,True,10,0,1
4node,r26_B,B,True,72,0,1
