scene,model,base_blur,end_blur,d_blur,x_blur,B
r00_L,ours_noatok,627.0,494.5,-132.5,-110.5,110.5
r00_L,ours_noadaln,899.0,659.2,-239.9,-217.9,217.9
r00_R,astra,374.4,424.0,49.6,202.1,-202.1
r00_R,matrixgame,249.8,84.9,-164.9,-12.400000000000006,12.400000000000006
r00_R,minwm,555.6,565.8,10.2,162.7,-162.7
r00_R,worldcam,431.8,262.5,-169.3,-16.80000000000001,16.80000000000001
r00_R,worldplay,654.6,342.8,-311.7,-159.2,159.2
r00_R,yume,798.0,677.4,-120.7,31.799999999999997,-31.799999999999997
r00_R,ours_pca8,484.8,492.4,7.6,160.1,-160.1
r00_R,ours_pca4,724.3,558.1,-166.2,-13.699999999999989,13.699999999999989
r00_R,ours_pca2,306.1,198.3,-107.8,44.7,-44.7
r00_R,ours_16node,801.9,727.4,-74.6,77.9,-77.9
r00_R,ours_4node,357.4,194.6,-162.8,-10.300000000000011,10.300000000000011
r00_R,ours_noatok,606.6,385.9,-220.7,-68.19999999999999,68.19999999999999
r00_R,ours_noadaln,557.2,404.8,-152.5,0.0,-0.0
r01_B,astra,432.8,519.4,86.5,-15.299999999999997,15.299999999999997
r01_B,matrixgame,256.3,341.1,84.8,-17.0,17.0
r01_B,minwm,597.3,699.1,101.8,0.0,-0.0
r01_B,worldcam,1076.1,823.3,-252.8,-354.6,354.6
r01_B,worldplay,615.9,796.4,180.5,78.7,-78.7
r01_B,yume,379.6,521.1,141.5,39.7,-39.7
r01_B,ours_pca8,788.5,851.7,63.2,-38.599999999999994,38.599999999999994
r01_B,ours_pca4,883.9,1108.2,224.3,122.50000000000001,-122.50000000000001
r01_B,ours_pca2,777.1,978.7,201.7,99.89999999999999,-99.89999999999999
r01_B,ours_16node,805.8,985.4,179.6,77.8,-77.8
r01_B,ours_4node,691.9,689.5,-2.4,-104.2,104.2
r01_B,ours_noatok,875.5,1320.0,444.6,342.8,-342.8
r01_B,ours_noadaln,655.5,670.3,14.8,-87.0,87.0
r01_BL,astra,526.6,516.6,-10.1,-114.1,114.1
r01_BL,matrixgame,144.3,401.1,256.8,152.8,-152.8
r01_BL,minwm,391.9,505.4,113.4,9.400000000000006,-9.400000000000006
r01_BL,worldcam,394.2,51.0,-343.2,-447.2,447.2
r01_BL,worldplay,498.7,536.5,37.8,-66.2,66.2
r01_BL,yume,436.4,357.2,-79.2,-183.2,183.2
r01_BL,ours_pca8,624.3,842.8,218.5,114.5,-114.5
r01_BL,ours_pca4,767.5,1020.5,253.0,149.0,-149.0
r01_BL,ours_pca2,628.8,732.8,104.0,0.0,-0.0
r01_BL,ours_16node,677.3,927.0,249.7,145.7,-145.7
r01_BL,ours_4node,545.3,327.0,-218.3,-322.3,322.3
r01_BL,ours_noatok,779.6,1088.5,309.0,205.0,-205.0
r01_BL,ours_noadaln,655.6,701.1,45.5,-58.5,58.5
r01_BR,astra,192.9,52.2,-140.7,-197.0,197.0
r01_BR,matrixgame,141.9,226.7,84.8,28.5,-28.5
r01_BR,minwm,429.9,371.7,-58.2,-114.5,114.5
r01_BR,worldcam,469.1,116.0,-353.1,-409.40000000000003,409.40000000000003
r01_BR,worldplay,485.7,416.8,-68.9,-125.2,125.2
r01_BR,yume,366.6,246.0,-120.7,-177.0,177.0
r01_BR,ours_pca8,837.4,893.6,56.3,0.0,-0.0
r01_BR,ours_pca4,985.9,1568.9,583.0,526.7,-526.7
r01_BR,ours_pca2,711.8,954.0,242.2,185.89999999999998,-185.89999999999998
r01_BR,ours_16node,789.0,896.4,107.4,51.10000000000001,-51.10000000000001
r01_BR,ours_4node,587.8,476.0,-111.8,-168.1,168.1
r01_BR,ours_noatok,861.6,1692.9,831.3,775.0,-775.0
r01_BR,ours_noadaln,525.2,724.6,199.3,143.0,-143.0
r01_F,astra,497.4,672.0,174.6,35.69999999999999,-35.69999999999999
r01_F,matrixgame,277.4,416.3,138.9,0.0,-0.0
r01_F,minwm,577.2,657.0,79.7,-59.2,59.2
r01_F,worldcam,879.4,741.6,-137.7,-276.6,276.6
r01_F,worldplay,559.6,654.0,94.4,-44.5,44.5
r01_F,yume,518.3,531.6,13.3,-125.60000000000001,125.60000000000001
r01_F,ours_pca8,623.8,1241.2,617.4,478.5,-478.5
r01_F,ours_pca4,644.3,1099.8,455.6,316.70000000000005,-316.70000000000005
r01_F,ours_pca2,592.5,581.6,-10.9,-149.8,149.8
r01_F,ours_16node,740.6,1281.0,540.4,401.5,-401.5
r01_F,ours_4node,566.2,734.0,167.9,29.0,-29.0
r01_F,ours_noatok,658.3,978.1,319.9,180.99999999999997,-180.99999999999997
r01_F,ours_noadaln,655.6,670.0,14.3,-124.60000000000001,124.60000000000001
r01_FL,astra,468.9,245.0,-223.9,-243.1,243.1
r01_FL,matrixgame,200.1,95.5,-104.6,-123.8,123.8
r01_FL,minwm,521.2,472.5,-48.7,-67.9,67.9
r01_FL,worldcam,391.3,319.0,-72.3,-91.5,91.5
r01_FL,worldplay,397.5,328.7,-68.7,-87.9,87.9
r01_FL,yume,627.1,742.0,114.9,95.7,-95.7
r01_FL,ours_pca8,633.6,1216.0,582.4,563.1999999999999,-563.1999999999999
r01_FL,ours_pca4,695.5,1174.9,479.4,460.2,-460.2
r01_FL,ours_pca2,577.5,558.2,-19.3,-38.5,38.5
r01_FL,ours_16node,667.5,995.3,327.8,308.6,-308.6
r01_FL,ours_4node,539.4,664.3,124.9,105.7,-105.7
r01_FL,ours_noatok,601.6,835.3,233.6,214.4,-214.4
r01_FL,ours_noadaln,655.6,674.7,19.2,0.0,-0.0
r01_FR,astra,220.2,464.4,244.1,300.4,-300.4
r01_FR,matrixgame,161.7,188.3,26.6,82.9,-82.9
r01_FR,minwm,457.1,400.7,-56.3,0.0,-0.0
r01_FR,worldcam,458.3,203.0,-255.3,-199.0,199.0
r01_FR,worldplay,459.8,329.7,-130.1,-73.8,73.8
r01_FR,yume,570.2,204.8,-365.4,-309.09999999999997,309.09999999999997
