train/step,train/flow_loss,train/total_loss,train/critic_z_loss,train/gen_z_loss,train/gen_action_loss,train/state_z_loss,train/state_guidance_loss,train/corr_state_cmd_z27,train/corr_state_teacher_z27,train/z_guidance_scale,train/state_guidance_scale
210,0.03485822305083275,0.040408506989479065,0.05707241967320442,0.1834259182214737,0.0020635416731238365,0.046206869184970856,0.1315380483865738,0.9183583855628967,0.7771279215812683,0.01125,0.009
220,0.06990499794483185,0.07842466235160828,0.14207540452480316,0.03370414301753044,0.0008004733826965094,0.0810231938958168,0.14090898633003235,0.5734078884124756,0.9070695638656616,0.02375,0.019000000000000003
230,0.10798760503530502,0.1174982339143753,0.05691063776612282,0.02902877889573574,0.0010522932279855013,0.057732004672288895,0.05811599642038345,0.9583700299263,0.9235175251960754,0.03625,0.028999999999999998
240,0.08021263778209686,0.09085802733898163,0.05323348194360733,0.046690329909324646,0.0022761535365134478,0.03685573861002922,0.04794084280729294,0.9351798295974731,0.9793481826782227,0.04875,0.03900000000000001
250,0.09939265251159668,0.11151318997144699,0.03779168799519539,0.05761267989873886,0.0035287768114358187,0.02121632546186447,0.05047806352376938,0.9349767565727234,0.9597387909889221,0.06125,0.049
260,0.13565278053283691,0.14978574216365814,0.028196997940540314,0.12467418611049652,0.009194720536470413,0.02367604710161686,0.1433684527873993,0.6291680335998535,0.9222975373268127,0.07375,0.059
270,0.08781750500202179,0.10411994904279709,0.06140584871172905,0.08082639425992966,0.006971276365220547,0.06099074333906174,0.02979457750916481,0.9370715618133545,0.9647576212882996,0.08625,0.06899999999999999
280,0.06486235558986664,0.08020162582397461,0.022931931540369987,0.20956745743751526,0.020694786682724953,0.022223541513085365,0.19133001565933228,0.620847761631012,0.956916868686676,0.09875,0.07900000000000001
290,0.13193929195404053,0.14558520913124084,0.054343678057193756,0.04025108367204666,0.004477933049201965,0.040817297995090485,0.03398807346820831,0.9748217463493347,0.9628735184669495,0.11125,0.08900000000000001
300,0.0874609500169754,0.10138566046953201,0.11131342500448227,0.015088488347828388,0.001867200480774045,0.06119363382458687,0.005660901311784983,1.001534342765808,0.9922298789024353,0.12375,0.099
310,0.07089653611183167,0.08704287558794022,0.004889471456408501,0.31600379943847656,0.043055519461631775,0.0204396340996027,0.21485239267349243,0.6454184055328369,0.8111089468002319,0.13625,0.10900000000000001
320,0.09451957046985626,0.11593056470155716,0.05912334471940994,0.01995367743074894,0.002968109678477049,0.05107786878943443,0.009607656858861446,0.9969062805175781,0.9815484881401062,0.14875,0.119
330,0.09955598413944244,0.12319965660572052,0.0374978706240654,0.00670220609754324,0.0010807306971400976,0.03142897039651871,0.004589335527271032,0.9990631341934204,0.9644874930381775,0.16125,0.129
340,0.03137436881661415,0.05554499104619026,0.061893969774246216,0.03370963782072067,0.005857049487531185,0.06530700623989105,0.016454895958304405,0.9975157380104065,0.8941333889961243,0.17375,0.13899999999999998
350,0.03800500929355621,0.06706736236810684,0.07939814776182175,0.09935417771339417,0.018504716455936432,0.06093772128224373,0.07060632109642029,0.9093906283378601,0.825080394744873,0.18625,0.149
360,0.060591403394937515,0.09356933832168579,0.038558024913072586,0.0147569440305233,0.0029329427052289248,0.04198325797915459,0.014826011843979359,0.9971179962158203,0.9552448987960815,0.19875,0.15900000000000003
370,0.034114476293325424,0.06385093927383423,0.03823217749595642,0.03195872902870178,0.006751281674951315,0.033770039677619934,0.04013330861926079,0.9361491203308105,0.9323180317878723,0.21125,0.169
380,0.09100311994552612,0.12004360556602478,0.04419369250535965,0.009722646325826645,0.002175442175939679,0.04644883796572685,0.008015638217329979,1.0014158487319946,0.975112795829773,0.22375,0.17900000000000002
390,0.07969316840171814,0.11603281646966934,0.12664610147476196,0.1895318478345871,0.04477689787745476,0.14828763902187347,0.1254737377166748,0.9608215093612671,-0.07250773906707764,0.23625,0.189
