frame_id,timestamp
0,1705304992.625
1,1705304992.675
2,1705304992.725
3,1705304992.775
4,1705304992.825
5,1705304992.875
6,1705304992.925
7,1705304992.975
8,1705304993.025
9,1705304993.075
10,1705304993.125
11,1705304993.175
12,1705304993.225
13,1705304993.275
14,1705304993.325
15,1705304993.375
16,1705304993.425
17,1705304993.475
18,1705304993.525
19,1705304993.575
20,1705304993.625
21,1705304993.675
22,1705304993.725
23,1705304993.775
24,1705304993.825
25,1705304993.875
26,1705304993.925
27,1705304993.975
28,1705304994.025
29,1705304994.075
30,1705304994.125
31,1705304994.175
32,1705304994.225
33,1705304994.275
34,1705304994.325
35,1705304994.375
36,1705304994.425
37,1705304994.475
38,1705304994.525
39,1705304994.575
40,1705304994.625
41,1705304994.675
42,1705304994.725
43,1705304994.775
44,1705304994.825
45,1705304994.875
46,1705304994.925
47,1705304994.975
48,1705304995.025
49,1705304995.075
50,1705304995.125
51,1705304995.175
52,1705304995.225
53,1705304995.275
54,1705304995.325
55,1705304995.375
56,1705304995.425
57,1705304995.475
58,1705304995.525
59,1705304995.575
60,1705304995.625
61,1705304995.675
62,1705304995.725
63,1705304995.775
64,1705304995.825
65,1705304995.875
66,1705304995.925
67,1705304995.975
68,1705304996.025
69,1705304996.075
70,1705304996.125
71,1705304996.175
72,1705304996.225
73,1705304996.275
74,1705304996.325
75,1705304996.375
76,1705304996.425
77,1705304996.475
78,1705304996.525
79,1705304996.575
80,1705304996.625
81,1705304996.675
82,1705304996.725
83,1705304996.775
84,1705304996.825
85,1705304996.875
86,1705304996.925
87,1705304996.975
88,1705304997.025
89,1705304997.075
90,1705304997.125
91,1705304997.175
92,1705304997.225
93,1705304997.275
94,1705304997.325
95,1705304997.375
96,1705304997.425
97,1705304997.475
98,1705304997.525
99,1705304997.575
100,1705304997.625
101,1705304997.675
102,1705304997.725
103,1705304997.775
104,1705304997.825
105,1705304997.875
106,1705304997.925
107,1705304997.975
108,1705304998.025
109,1705304998.075
110,1705304998.125
111,1705304998.175
112,1705304998.225
113,1705304998.275
114,1705304998.325
115,1705304998.375
116,1705304998.425
117,1705304998.475
118,1705304998.525
119,1705304998.575
120,1705304998.625
121,1705304998.675
122,1705304998.725
123,1705304998.775
124,1705304998.825
125,1705304998.875
126,1705304998.925
127,1705304998.975
128,1705304999.025
129,1705304999.075
130,1705304999.125
131,1705304999.175
132,1705304999.225
133,1705304999.275
134,1705304999.325
135,1705304999.375
136,1705304999.425
137,1705304999.475
138,1705304999.525
139,1705304999.575
140,1705304999.625
141,1705304999.675
142,1705304999.725
143,1705304999.775
144,1705304999.825
145,1705304999.875
146,1705304999.925
147,1705304999.975
148,1705305000.025
149,1705305000.075
150,1705305000.125
151,1705305000.175
152,1705305000.225
153,1705305000.275
154,1705305000.325
155,1705305000.375
156,1705305000.425
157,1705305000.475
158,1705305000.525
159,1705305000.575
160,1705305000.625
161,1705305000.675
162,1705305000.725
163,1705305000.775
164,1705305000.825
165,1705305000.875
166,1705305000.925
167,1705305000.975
168,1705305001.025
169,1705305001.075
170,1705305001.125
171,1705305001.175
172,1705305001.225
173,1705305001.275
174,1705305001.325
175,1705305001.375
176,1705305001.425
177,1705305001.475
178,1705305001.525
179,1705305001.575
180,1705305001.625
181,1705305001.675
182,1705305001.725
183,1705305001.775
184,1705305001.825
185,1705305001.875
186,1705305001.925
187,1705305001.975
188,1705305002.025
189,1705305002.075
190,1705305002.125
191,1705305002.175
192,1705305002.225
193,1705305002.275
194,1705305002.325
195,1705305002.375
196,1705305002.425
197,1705305002.475
198,1705305002.525
199,1705305002.575
200,1705305002.625
201,1705305002.675
202,1705305002.725
203,1705305002.775
204,1705305002.825
205,1705305002.875
206,1705305002.925
207,1705305002.975
208,1705305003.025
209,1705305003.075
210,1705305003.125
211,1705305003.175
212,1705305003.225
213,1705305003.275
214,1705305003.325
215,1705305003.375
216,1705305003.425
217,1705305003.475
218,1705305003.525
219,1705305003.575
220,1705305003.625
221,1705305003.675
222,1705305003.725
223,1705305003.775
224,1705305003.825
225,1705305003.875
226,1705305003.925
227,1705305003.975
228,1705305004.025
229,1705305004.075
230,1705305004.125
231,1705305004.175
232,1705305004.225
233,1705305004.275
234,1705305004.325
235,1705305004.375
236,1705305004.425
237,1705305004.475
238,1705305004.525
239,1705305004.575
240,1705305004.625
241,1705305004.675
242,1705305004.725
243,1705305004.775
244,1705305004.825
245,1705305004.875
246,1705305004.925
247,1705305004.975
248,1705305005.025
249,1705305005.075
250,1705305005.125
251,1705305005.175
252,1705305005.225
253,1705305005.275
254,1705305005.325
255,1705305005.375
256,1705305005.425
257,1705305005.475
258,1705305005.525
259,1705305005.575
260,1705305005.625
