latitude,longitude,timestamp
-32.048656,115.837921,1705304992126
-32.048656,115.837921,1705304992314
-32.048656,115.837921,1705304992470
-32.048656,115.837921,1705304992935
-32.048656,115.837921,1705304993283
-32.048656,115.837921,1705304994199
-32.048656,115.837921,1705304995195
-32.048656,115.837921,1705304996132
-32.048656,115.837921,1705304997159
-32.048656,115.837921,1705304998081
-32.048656,115.837921,1705304999134
-32.048656,115.837921,1705305000213
-32.048656,115.837921,1705305001300
-32.048656,115.837921,1705305002288
-32.048656,115.837921,1705305003272
-32.048656,115.837921,1705305004283
-32.048656,115.837921,1705305005253
-32.048656,115.837921,1705305006299
-32.048656,115.837921,1705305007280
-32.048656,115.837921,1705305008272
-32.048656,115.837921,1705305009263
