scene,model,static_inl,static
r04_FR,minwm,348,0
r04_FR,worldcam,14,0
r04_FR,worldplay,3,0
r04_FR,yume,8,0
r04_FR,ours_pca8,82,0
r04_FR,ours_pca4,71,0
r04_FR,ours_pca2,192,0
r04_FR,ours_16node,155,0
r04_FR,ours_4node,162,0
r04_FR,ours_noatok,81,0
r04_FR,ours_noadaln,90,0
r04_L,astra,17,0
r04_L,matrixgame,5,0
r04_L,minwm,504,0
r04_L,worldcam,10,0
r04_L,worldplay,11,0
r04_L,yume,15,0
r04_L,ours_pca8,112,0
r04_L,ours_pca4,114,0
r04_L,ours_pca2,53,0
r04_L,ours_16node,69,0
r04_L,ours_4node,101,0
r04_L,ours_noatok,79,0
r04_L,ours_noadaln,421,0
r04_R,astra,19,0
r04_R,matrixgame,10,0
r04_R,minwm,203,0
r04_R,worldcam,12,0
r04_R,worldplay,12,0
r04_R,yume,107,0
r04_R,ours_pca8,352,0
r04_R,ours_pca4,312,0
r04_R,ours_pca2,491,0
r04_R,ours_16node,550,0
r04_R,ours_4node,284,0
r04_R,ours_noatok,253,0
r04_R,ours_noadaln,109,0
r05_B,astra,12,0
r05_B,matrixgame,67,0
r05_B,minwm,394,0
r05_B,worldcam,328,0
r05_B,worldplay,34,0
r05_B,yume,455,0
r05_B,ours_pca8,177,0
r05_B,ours_pca4,322,0
r05_B,ours_pca2,457,0
r05_B,ours_16node,162,0
r05_B,ours_4node,268,0
r05_B,ours_noatok,380,0
r05_B,ours_noadaln,487,0
r05_BL,astra,44,0
r05_BL,matrixgame,12,0
r05_BL,minwm,391,0
r05_BL,worldcam,14,0
r05_BL,worldplay,11,0
r05_BL,yume,58,0
r05_BL,ours_pca8,110,0
r05_BL,ours_pca4,42,0
r05_BL,ours_pca2,61,0
r05_BL,ours_16node,138,0
r05_BL,ours_4node,17,0
r05_BL,ours_noatok,117,0
r05_BL,ours_noadaln,484,0
r05_BR,astra,14,0
r05_BR,matrixgame,17,0
r05_BR,minwm,166,0
r05_BR,worldcam,62,0
r05_BR,worldplay,11,0
r05_BR,yume,6,0
r05_BR,ours_pca8,31,0
r05_BR,ours_pca4,11,0
r05_BR,ours_pca2,14,0
r05_BR,ours_16node,57,0
r05_BR,ours_4node,20,0
r05_BR,ours_noatok,13,0
r05_BR,ours_noadaln,103,0
r05_F,astra,166,0
r05_F,matrixgame,21,0
r05_F,minwm,290,0
r05_F,worldcam,75,0
r05_F,worldplay,49,0
r05_F,yume,261,0
r05_F,ours_pca8,313,0
r05_F,ours_pca4,274,0
r05_F,ours_pca2,335,0
r05_F,ours_16node,369,0
r05_F,ours_4node,138,0
r05_F,ours_noatok,328,0
r05_F,ours_noadaln,481,0
r05_FL,astra,100,0
r05_FL,matrixgame,5,0
r05_FL,minwm,189,0
r05_FL,worldcam,7,0
r05_FL,worldplay,65,0
r05_FL,yume,74,0
